covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),Cancer_Type,Gene,Endpoint
ERBB2_altered,-0.8139733526216274,0.4430939952181977,0.28101190369106827,-1.3647465630831594,-0.26320014216009535,0.25544540708149865,0.768588055042952,0.0,-2.8965796179099685,0.0037725490131224984,8.050244640231023,BLCA,ERBB2,OS
KRAS_altered,0.82433877156826,2.2803724196249164,0.31375379834906164,0.20939262679145643,1.4392849163450636,1.2329289844623785,4.217678745263265,0.0,2.6273427633572592,0.008605460234901472,6.8605319325065075,BLCA,KRAS,OS
IGF1R_altered,0.7535079356751537,2.1244393572306257,0.3283383141481036,0.1099766652002726,1.3970392061500347,1.1162520226375687,4.043211112743363,0.0,2.294913213616821,0.021738098401733727,5.523630447495027,BLCA,IGF1R,OS
MDM4_altered,1.2539679396020678,3.50421994081623,0.5858235378528989,0.10577490411454882,2.4021609750895867,1.1115716381416443,11.047022946846141,0.0,2.140521605188457,0.03231263668458556,4.951757711639015,BLCA,MDM4,OS
ACACB_altered,-1.2451843225292867,0.28788783902536463,0.5837733544049424,-2.3893590722971108,-0.10100957276146261,0.09168843070453235,0.9039243797919793,0.0,-2.1329927327679084,0.0329253223563206,4.924658624476275,BLCA,ACACB,OS
SOX9_altered,1.683960775251916,5.386849874770696,0.5133951208286196,0.6777248285892321,2.6901967219145995,1.9693919269686968,14.734574249007927,0.0,3.2800482648413247,0.001037893292285752,9.912126159466938,BRCA,SOX9,OS
ERBB2_altered,1.399431433714883,4.052894972197335,0.42669360734751305,0.563127330880282,2.235735536549484,1.7561560023610634,9.35335906011685,0.0,3.2797103345753684,0.0010391371830046502,9.910398158643211,BRCA,ERBB2,OS
CSF2RA_altered,2.2098373578719244,9.114233914087242,0.7205576442058544,0.7975703264434233,3.6221043893004254,2.220140154265464,37.41622333216238,0.0,3.066843264576624,0.002163322586045549,8.852535474384085,BRCA,CSF2RA,OS
NFE2L2_altered,2.01750852972254,7.519566798519259,0.7191031301529808,0.6080922934526787,3.426924765992401,1.83692374260541,30.78183569950154,0.0,2.805589970514158,0.005022455787874846,7.6373913255331765,BRCA,NFE2L2,OS
CSF1R_altered,1.9784636226701813,7.2316239427424245,0.7208426146053156,0.5656380595220762,3.3912891858182865,1.760570773362513,29.704221858326463,0.0,2.7446540792450977,0.00605747112629832,7.367068661757319,BRCA,CSF1R,OS
APC_altered,1.1323466847341142,3.1029295604277216,0.47904292199093945,0.19343981058304216,2.071253558885186,1.2134163495308885,7.9347635794576705,0.0,2.3637687412810395,0.018090100933827184,5.788655732267439,CESC,APC,OS
MDM4_altered,3.2583822008113716,26.007428293480135,1.2391840343556872,0.8296261232571798,5.6871382783655635,2.2924614819877767,295.04806591298603,0.0,2.6294578613624284,0.008552113003774625,6.869503368354368,CHOL,MDM4,OS
